Species_Name,Collection_Number,Biomes,Habit,Habit_Sources,Continents,Continents_Sources
Bauhinia ungulata L.,1017,Rainforest+Savanna,Tree/Shrub,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=63148,Central_America+North_America+South_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:316241-2
Bauhinia variegata L.,1303,Rainforest+Savanna+Succulent,Tree/Shrub,"De Wit, 1956; Flora do Brasil 2020; Hô, 1991;https://www.nparks.gov.sg/florafaunaweb/flora/2/7/2751; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=63134; Flore de l'Indo-Chine p.200; http://portal.cybertaxonomy.org/flora-malesiana/cdm_dataportal/taxon/12149d44-551d-4ed7-aa29-afdec80225e8",Asia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481756-1
Bauhinia viridescens Desv.,2496,Rainforest+Savanna,Tree/Shrub,"De Wit, 1956; Flore générale de l'Indo-Chine p.199; http://portal.cybertaxonomy.org/flora-malesiana/cdm_dataportal/taxon/b0afca81-233d-483c-a618-ff73f02c5e15",Asia,Occurrence map
Bauhinia weberbaueri Harms,18,Savanna+Succulent,Tree/Shrub,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30211-2,South_America,Occurrence map
Bauhinia xerophyta Du Puy & R.Rabev.,1388,Succulent,Tree/Shrub,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20004561-1; http://legacy.tropicos.org/Name/50216962?projectid=17,Madagascar,Occurrence map
Brenierea insignis Humbert,430,Succulent,Tree/Shrub,http://legacy.tropicos.org/Name/13049786?projectid=17,Madagascar,Occurrence map
Cercis canadensis L.,802,Temperate,Tree/Shrub,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=h550,North_America,Occurrence map
Cercis chinensis Bunge,1182,Temperate,Tree/Shrub,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:485670-1; http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012037,Northern_Asia,Occurrence map
Cercis gigantea W.C.Cheng&Keng f.,1V200310,Temperate,Tree/Shrub,,Northern_Asia,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012042; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:485677-1
Cercis occidentalis Torr. ex A.Gray,873,Temperate,Tree/Shrub,https://www.biodiversitylibrary.org/page/32406679#page/185/mode/1up,North_America,Occurrence map
Cercis racemosa Oliv.,1V200307,Temperate,Tree/Shrub,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012043,Northern_Asia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:485689-1
Gigasiphon humblotianum (Baill.) Drake,7468,Rainforest+Succulent,Tree/Shrub,http://legacy.tropicos.org/Name/13051003?projectid=17 ,Madagascar,Occurrence map
Gigasiphon macrosiphon (Harms) Brenan,7469,Rainforest+Succulent,Tree/Shrub,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=70187; http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:496529-1,Africa,Occurrence map
Griffonia physocarpa Baill.,939,Rainforest,Tree/Shrub,https://plants.jstor.org/stable/10.5555/al.ap.flora.fwta2494?searchUri=filter%3Dname%26so%3Dps_group_by_genus_species%2Basc%26Query%3DGriffonia%2Bsimplicifolia%2B%2528Vahl%2Bex%2BDC.%2529%2BBaill.,Africa,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:497081-1
Lysiphyllum binatum (Blanco) de Wit,1729,Rainforest+Savanna,Tree/Shrub,"https://profiles.ala.org.au/opus/foa/profile/Bauhinia%20binata; De Wit, 1956; Flore de l'Indo-Chine p.196",Asia+Australia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505334-1
Lysiphyllum carronii (F.Muell.) Pedley,2447,Savanna,Tree/Shrub,https://profiles.ala.org.au/opus/foa/profile/Bauhinia%20carronii,Australia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505335-1
Lysiphyllum cunninghamii (Benth.) de Wit,6805,Savanna,Tree/Shrub,https://profiles.ala.org.au/opus/foa/profile/Bauhinia%20cunninghamii,Australia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505336-1
Lysiphyllum gilvum (F.M.Bailey) Pedley,2446,Savanna,Tree/Shrub,https://profiles.ala.org.au/opus/foa/profile/Bauhinia%20gilva,Australia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505338-1
Lysiphyllum hookeri (F.Muell.) Pedley,2445,Savanna,Tree/Shrub,https://profiles.ala.org.au/opus/foa/profile/Bauhinia%20hookeri,Australia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505339-1
Lysiphyllum winitii (Craib) de Wit,2125,Rainforest+Savanna,Tree/Shrub,"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505341-1; De Wit, 1956; https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6313",Asia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505341-1
"Phanera aureifolia (K.Larsen & S.S.Larsen) Bandyop., Ghoshal & M.K.Pathak",200840,Rainforest,Liana,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77124798-1; https://www.nparks.gov.sg/florafaunaweb/flora/3/6/3607,Asia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77124798-1 and species occurrence maps
Phanera bidentata (Jack) Benth.,2092,Rainforest,Liana,"De Wit, 1956; https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5026",Asia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513502-1 and species occurrence maps
Phanera championii Benth.,618,Rainforest+Savanna,Liana,"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513508-1; Hô, 1991; Flore de l'Indo-Chine p.184-185",Asia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513508-1
Cheniella corymbosa (Roxb. ex DC.) R.Clark & Mackinder,3159,Rainforest,Liana,"http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200011925; http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165911-1; De Wit, 1956; Hô, 1991",Asia+Northern_Asia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165911-1 and species occurrence maps
Phanera curtisii Prain,1067,Rainforest+Savanna,Liana,"De Wit, 1956; Hô, 1991",Asia,Occurrence map
"Phanera harmsiana (Hosseus) Bandyop.&Ghoshal",2989,Rainforest+Savanna,Liana,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77150157-1; Flore de l'Indo-Chine p.202; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.3885980%2Fformat%2Flarge; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.3888598%2Fformat%2Flarge,Asia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77150157-1
Phanera japonica (Maxim.) H.Ohashi,3354,Rainforest,Liana,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77142862-1; https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fn2t.net%2Fark%3A%2F65665%2Fm365e479c2-bcfd-4c1a-8338-756cae681947; https://www.gbif.org/occurrence/1321251810; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.3897148%2Fformat%2Flarge; ,Asia+Northern_Asia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77142862-1
Cheniella lakhonensis (Gagnep.) R.Clark & Mackinder,200830,Rainforest+Savanna,Liana,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165912-1; Flore générale de l'Indo-Chine,Asia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165912-1
Phanera lorantha (Pierre ex Gagnep.) XXXX,2092,Rainforest,Tree/Shrub,,Asia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:481463-1
Phanera ornata (Kurz) Thoth.,45006,Rainforest+Savanna,Liana,"Flore de l'Indo-Chine p. 169; Gagnepain et al, 1907",Asia+Northern_Asia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513559-1
Phanera penicilliloba (Pierre ex Gagnep.) Sinou & Bruneau,31900,Rainforest+Savanna,Liana,Flore de l'Indo-Chine p. 193; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.2058773%2Fformat%2Flarge,Asia,Occurrence map
Phanera retusa Benth.,39,Savanna,Tree/Shrub,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:513575-1,Asia,Occurrence map
Phanera scandens (L.) Lour. ex Raf.,4559,Rainforest+Savanna,Liana,"De Wit, 1956; Flore de l'Indo-Chine p. 190; http://portal.cybertaxonomy.org/flora-malesiana/cdm_dataportal/taxon/0ba38846-23ff-4578-b306-25bac3457319",Asia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60469169-2 and species occurrence maps
Phanera sp.,3467,Rainforest+Savanna,Tree/Shrub/Liana,"Sinou et al., 2019",Asia,"Sinou et al., 2019 https://www.ncbi.nlm.nih.gov/nuccore/KT346842.1"
Cheniella touranensis (Gagnep.) R.Clark & Mackinder,2335,Rainforest+Savanna,Liana,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165910-1; Flore générale de l'Indo-Chine p.186,Asia+Northern_Asia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165910-1
Phanera vahlii (Wight & Arn.) Benth.,7882,Rainforest,Liana,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:513592-1; https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fn2t.net%2Fark%3A%2F65665%2Fm3657e6cc7-6095-4a7f-95d7-ea1cc66168d7; https://www.gbif.org/occurrence/1503316024; https://www.gbif.org/occurrence/1503279357,Asia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513592-1; https://www.gbif.org/occurrence/2517828415
Phanera yunnanensis (Franch.) Wunderlin,sn,Rainforest+Savanna,Tree/Shrub,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77113367-1; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1974857%2Fformat%2Flarge; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fbisque.cyverse.org%2Fimage_service%2Fimage%2F00-4YntvdRUJ6wU3aWSrrh6N4%3Fresize%3D4000%26format%3Djpeg,Asia,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77113367-1
Piliostigma reticulatum (DC.) Hochst.,5641,Savanna,Tree/Shrub,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=62748; http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:514345-1,Africa,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:514345-1
Piliostigma thonningii (Schumach.) Milne-Redh.,1556,Savanna,Tree/Shrub,ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=62747; http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:514346-1,Africa,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:514346-1
Schnella erythrantha (Ducke) Wunderlin,20934,Rainforest,Liana,Flora do Brasil 2020,South_America,Occurrence map
Schnella flexuosa (Moric.) Walp.,1866,Rainforest+Succulent,Liana,"http://floradobrasil.jbrj.gov.br/reflora/listaBrasil/ConsultaPublicaUC/BemVindoConsultaPublicaConsultar.do?invalidatePageControlCounter=1&idsFilhosAlgas=%5B2%5D&idsFilhosFungos=%5B1%2C10%2C11%5D&lingua=&grupo=5&familia=null&genero=Schnella&especie=flexuosa&autor=&nomeVernaculo=&nomeCompleto=&formaVida=null&substrato=null&ocorreBrasil=QUALQUER&ocorrencia=OCORRE&endemismo=TODOS&origem=TODOS&regiao=QUALQUER&estado=QUALQUER&ilhaOceanica=32767&domFitogeograficos=QUALQUER&bacia=QUALQUER&vegetacao=TODOS&mostrarAte=SUBESP_VAR&opcoesBusca=TODOS_OS_NOMES&loginUsuario=Visitante&senhaUsuario=&contexto=consulta-publica; Quieroz, 2009",South_America,Occurrence map
Schnella glabra (Jacq.) Dugand,1038,Rainforest+Savanna,Liana,"Vaz, 2010; Flora do Brasil 2020; Castellanos & Lewis, 2012",Central_America+North_America+South_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:229758-2
Schnella guianensis (Aubl.) Wunderlin,6899,Rainforest,Liana,"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77111925-1; Vaz, 2010; Castellanos & Lewis, 2012",Central_America+North_America+South_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77111925-1
Schnella hymenaeifolia (Triana ex Hemsl.) Britton & Rose,6899,Rainforest+Succulent,Liana,"http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Schnella%20hymenaeifolia/; http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:518011-1; Castellanos & Lewis, 2012; https://www.gbif.org/occurrence/2235738712",Central_America+South_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:518011-1
Schnella maximiliani (Benth.) Wunderlin,4568,Rainforest+Succulent,Liana,"Vaz, 2010; http://floradobrasil.jbrj.gov.br/reflora/listaBrasil/ConsultaPublicaUC/BemVindoConsultaPublicaConsultar.do?invalidatePageControlCounter=25&idsFilhosAlgas=%5B2%5D&idsFilhosFungos=%5B1%2C10%2C11%5D&lingua=&grupo=5&familia=null&genero=Schnella&especie=maximiliani&autor=&nomeVernaculo=&nomeCompleto=&formaVida=null&substrato=null&ocorreBrasil=QUALQUER&ocorrencia=OCORRE&endemismo=TODOS&origem=TODOS&regiao=QUALQUER&estado=QUALQUER&ilhaOceanica=32767&domFitogeograficos=QUALQUER&bacia=QUALQUER&vegetacao=TODOS&mostrarAte=SUBESP_VAR&opcoesBusca=TODOS_OS_NOMES&loginUsuario=Visitante&senhaUsuario=&contexto=consulta-publica",South_America,Occurrence map
Schnella microstachya Raddi,1073,Rainforest+Succulent,Liana,"Quieroz, 2009; http://floradobrasil.jbrj.gov.br/reflora/listaBrasil/ConsultaPublicaUC/BemVindoConsultaPublicaConsultar.do?invalidatePageControlCounter=33&idsFilhosAlgas=%5B2%5D&idsFilhosFungos=%5B1%2C10%2C11%5D&lingua=&grupo=5&familia=null&genero=Schnella&especie=microstachya&autor=&nomeVernaculo=&nomeCompleto=&formaVida=null&substrato=null&ocorreBrasil=QUALQUER&ocorrencia=OCORRE&endemismo=TODOS&origem=TODOS&regiao=QUALQUER&estado=QUALQUER&ilhaOceanica=32767&domFitogeograficos=QUALQUER&bacia=QUALQUER&vegetacao=TODOS&mostrarAte=SUBESP_VAR&opcoesBusca=TODOS_OS_NOMES&loginUsuario=Visitante&senhaUsuario=&contexto=consulta-publica; http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Bauhinia%20microstachya/",Central_America+North_America+South_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:229762-2
Schnella outimouta (Aubl.) Wunderlin,1030,Rainforest,Liana,"Vaz, 2010; Quieroz, 2009",Central_America+South_America,Occurrence map; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77111929-1
Schnella pterocalyx (Ducke) Wunderlin,1246,Rainforest,Liana,"Vaz, 2010",South_America,Occurrence map
Schnella siqueirae (Ducke) Wunderlin,18906,Rainforest,Liana,"Vaz, 2010",South_America,Occurrence map
Tournaya gossweileri (Baker f.) A.Schmitz,3504,Rainforest,Liana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:521411-1,Africa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:521411-1
Tylosema argentea (Chiov.) Brenan,35,Succulent,Herbaceous,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:524262-11,Africa,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77063994-1; https://www.gbif.org/tools/zoom/simple.html?src=//api.gbif.org/v1/image/unsafe/https%3A%2F%2Foxalis.br.fgov.be%2Fimages%2FBR0%2F000%2F015%2F742%2F520%2FBR0000015742520.jpg
Tylosema esculentum (Burch.) A.Schreib.,687,Savanna+Succulent,Herbaceous,https://eol.org/pages/638925; https://ildis.org/cgi-bin/Araneus.pl?version~10.01&LegumeWeb&tno~1055&genus~Tylosema&species~esculentum; https://plants.jstor.org/search?qtype=all&query=Bauhinia+bainesii; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=69316,Africa,Occurrence map
Tylosema fassoglense (Kotschy ex Schweinf.) Torre & Hillc.,21XII976,Savanna+Succulent,Herbaceous,https://ildis.org/cgi-bin/Araneus.pl?version~10.01&LegumeWeb&tno~1056&genus~Tylosema&species~fassoglensis; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=69317,Africa,Occurrence map
Tylosema humifusum (Pic.Serm. & Roti Mich.) Brenan,690,Savanna+Succulent,Herbaceous,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:524265-1; https://ildis.org/cgi-bin/Araneus.pl?version~10.01&LegumeWeb&tno~1057&genus~Tylosema&species~humifusa; https://plants.jstor.org/search?qtype=all&query=Bauhinia+humifusa; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=69319,Africa,Occurrence map