,,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,,,
Bauhinia natalensis Oliv.,24,11,0,12,0,0,1,0.46,0.00,0.50,0.04,0.00,0.00,Grass - Rainforest,Succulent,https://plants.jstor.org/stable/10.5555/al.ap.flora.flosa000110031800014?searchUri=qtype%3Dall%26query%3DBauhinia%2Bnatalensis
Bauhinia ombrophila Du Puy & R.Rabev.,8,0,6,0,0,6,2,0.00,0.75,0.00,0.25,0.00,0.75,Rainforest,Rainforest,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=211731
Bauhinia ovata (Bong.) Vogel,39,3,7,0,19,1,10,0.08,0.85,0.00,0.26,0.49,0.03,Rainforest,Rainforest,Flora do Brasil 2020
Bauhinia pansamalana Donn.Sm.,10,0,5,0,0,2,5,0.00,0.50,0.00,0.50,0.00,0.20,Rainforest,,
Bauhinia parviloba Ducke,2,0,2,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,
Bauhinia pauletia Pers.,331,239,17,3,2,3,70,0.72,0.09,0.01,0.21,0.01,0.01,Succulent,Succulent,"Wunderlin, 1983; Forero & Castellanos, 2017; Castellanos & Lewis, 2012"
Bauhinia pentandra (Bong.) Vogel ex D.Dietr.,393,283,6,94,0,2,10,0.72,0.03,0.24,0.03,0.00,0.01,Grass - Rainforest,Savanna-Succulent,"Flora do Brasil 2020; Lewis, 1987; Quieroz, 2009"
Bauhinia pervilleana Baill.,19,19,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,Succulent,Succulent,"http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=206524; Babineau & Bruneau, 2017"
Bauhinia pes-caprae Cav.,9,9,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,Succulent,,"Wunderlin, 1983"
Bauhinia petersiana Bolle,115,35,0,71,0,0,9,0.30,0.00,0.62,0.08,0.00,0.00,Grass - Rainforest,,https://www.zimbabweflora.co.zw/speciesdata/species.php?species_id=126790; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=176783
Bauhinia petiolata (Mutis ex DC.) Triana ex Hook.,42,12,4,1,0,0,25,0.29,0.10,0.02,0.60,0.00,0.00,Succulent,Rainforest,"Wunderlin, 1983; http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Bauhinia%20petiolata/; Castellanos & Lewis, 2012"
Bauhinia pichinchensis Wunderlin,33,0,21,0,0,0,12,0.00,0.70,0.00,0.36,0.00,0.00,Rainforest,,
Bauhinia picta (Kunth) DC.,112,3,36,8,0,2,65,0.03,0.30,0.07,0.58,0.00,0.02,Rainforest,,"Wunderlin, 1983; Forero & Castellanos, 2017; http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Bauhinia%20petiolata/; Castellanos & Lewis, 2012"
Bauhinia pinheiroi Wunderlin,13,1,5,0,5,0,2,0.08,0.92,0.00,0.15,0.38,0.00,Rainforest,Rainforest,"Flora do Brasil 2020; Lewis, 1987"
Bauhinia platyphylla Benth.,10,1,0,9,0,0,0,0.10,0.00,0.90,0.00,0.00,0.00,Grass - Rainforest,Savanna,"Vaz & Tozzi, 2003; Flora do Brasil 2020; Lewis, 1987"
Bauhinia podopetala Baker,43,41,0,0,1,0,1,0.95,0.05,0.00,0.02,0.02,0.00,Succulent,,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=210601
Bauhinia pottsii G.Don,45,0,33,8,0,2,4,0.00,0.80,0.18,0.09,0.00,0.04,Rainforest - Grass,Rainforest,"De Wit, 1956"
Bauhinia prainiana Craib,1,0,0,1,0,0,0,0.00,0.00,1.00,0.00,0.00,0.00,Grass,,
Bauhinia pringlei S.Watson,81,81,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,Succulent,,"Wunderlin, 1983"
Bauhinia pulchella Benth.,464,211,80,146,0,75,27,0.45,0.14,0.31,0.06,0.00,0.16,Rainforest - Grass - Succulent,Savanna-Rainforest,"Vaz & Tozzi, 2003; Flora do Brasil 2020; Lewis, 1987; Quieroz, 2009"
Bauhinia purpurea L.,153,23,49,42,6,25,33,0.15,0.37,0.27,0.22,0.04,0.16,Rainforest - Grass - Succulent,,Flora do Brasil 2020; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=63131
Bauhinia racemosa Lam.,11,0,3,4,0,2,4,0.00,0.27,0.36,0.36,0.00,0.18,Rainforest - Grass,,https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.3892546%2Fformat%2Flarge; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1962547%2Fformat%2Flarge
Bauhinia ramirezii Reynoso,5,5,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,Succulent,,
Bauhinia ramosissima Benth. ex Hemsl.,134,130,3,0,0,2,1,0.97,0.02,0.00,0.01,0.00,0.01,Succulent,Succulent,"Wunderlin, 1983"
Bauhinia retifolia Standl.,8,8,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,Succulent,,
Bauhinia richardiana DC.,1,0,1,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,
Bauhinia rubeleruziana Donn.Sm.,83,2,77,0,0,47,4,0.02,0.88,0.00,0.05,0.00,0.57,Rainforest,Rainforest,"Wunderlin, 1983"
Bauhinia rufa (Bong.) Steud.,574,130,63,373,4,40,4,0.23,0.12,0.65,0.01,0.01,0.07,Rainforest - Grass - Succulent,Savanna-Succulent,"Vaz & Tozzi, 2003; Flora do Brasil 2020; Lewis, 1987"
Bauhinia rufescens Lam.,85,5,3,69,0,0,8,0.06,0.04,0.81,0.09,0.00,0.00,Grass,Savanna,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=63146
Bauhinia saccocalyx Pierre,21,0,3,17,0,2,1,0.00,0.19,0.81,0.05,0.00,0.10,Rainforest - Grass,,
Bauhinia seleriana Harms,45,41,0,2,0,0,2,0.91,0.02,0.04,0.04,0.00,0.00,Succulent,,"Wunderlin, 1983"
Bauhinia seminarioi Harms ex Eggers,7,0,4,0,1,0,2,0.00,1.00,0.00,0.29,0.14,0.00,Rainforest,,
Bauhinia smilacifolia Burch. ex Benth.,5,2,0,2,0,0,1,0.40,0.00,0.40,0.20,0.00,0.00,Grass - Rainforest,Savanna,"Vaz & Tozzi, 2003; Flora do Brasil 2020"
Bauhinia stenantha Diels,7,5,2,0,0,2,0,0.71,0.29,0.00,0.00,0.00,0.29,Rainforest - Succulent,,https://fm-digital-assets.fieldmuseum.org/495/509/V0100841F.jpg; https://herbariovaa.org/taxa/index.php?tid=22302&taxauthid=1&clid=0
Bauhinia subclavata Benth.,91,70,0,18,0,0,3,0.77,0.01,0.20,0.03,0.00,0.00,Grass - Rainforest,Savanna-Succulent,"Vaz & Tozzi, 2003; Flora do Brasil 2020; Quieroz, 2009"
Bauhinia subrotundifolia Cav.,87,85,1,0,0,0,1,0.98,0.01,0.00,0.01,0.00,0.00,Succulent,,"Wunderlin, 1983"
Bauhinia taitensis Taub.,36,35,0,0,0,0,1,0.97,0.00,0.00,0.03,0.00,0.00,Succulent,Succulent,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=63148
Bauhinia tarapotensis Benth.,236,1,199,8,3,11,25,0.00,0.82,0.03,0.11,0.01,0.05,Rainforest,Rainforest,"Flora do Brasil 2020; Forero & Castellanos, 2017; Castellanos & Lewis, 2012"
Bauhinia tenella Benth.,30,8,0,20,0,0,2,0.27,0.00,0.67,0.07,0.00,0.00,Grass - Rainforest,Savanna,"Vaz & Tozzi, 2003; Flora do Brasil 2020"
Bauhinia tessmannii Harms,2,0,2,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,Flora do Brasil 2020
Bauhinia thompsonii I.M.Johnst.,1,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,Rainforest,,
Bauhinia tomentosa L.,171,88,17,40,0,8,26,0.51,0.10,0.23,0.15,0.00,0.05,Grass - Rainforest,,"Flora do Brasil 2020; De Wit, 1956; Lewis, 1987; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=63134"
Bauhinia tuichiensis Cayola & A.Fuentes,24,2,0,0,0,0,22,0.08,0.00,0.00,0.92,0.00,0.00,Other,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60459402-2
Bauhinia ungulata L.,1714,469,385,555,66,224,239,0.27,0.29,0.32,0.14,0.04,0.13,Rainforest - Grass - Succulent,Savanna-Rainforest,"Wunderlin, 1983; Flora do Brasil 2020; Lewis, 1987"
Bauhinia urbaniana Schinz,43,3,0,40,0,0,0,0.07,0.00,0.93,0.00,0.00,0.00,Grass,Savanna,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=63136
Bauhinia uruguayensis Benth.,23,4,1,15,0,0,3,0.17,0.04,0.65,0.13,0.00,0.00,Grass - Rainforest,Rainforest,Flora do Brasil 2020;https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Ffm-digital-assets.fieldmuseum.org%2F495%2F628%2FV0100961F.jpg
Bauhinia variegata L.,430,125,72,123,10,40,100,0.29,0.20,0.29,0.23,0.02,0.09,Rainforest - Grass - Succulent,,"Flora do Brasil 2020; De Wit, 1956; Lewis, 1987; https://www.zimbabweflora.co.zw/speciesdata/species.php?species_id=126820"
Bauhinia vespertilio S.Moore,6,1,0,4,0,0,1,0.17,0.00,0.67,0.17,0.00,0.00,Grass - Rainforest,Savanna,Flora do Brasil 2020
Bauhinia viorna Standl. ex J.F.Macbr.,1,0,0,0,0,0,1,0.00,0.00,0.00,1.00,0.00,0.00,Other,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77111932-1
Bauhinia viridescens Desv.,50,0,27,21,0,10,2,0.00,0.60,0.42,0.04,0.00,0.20,Rainforest - Grass,Savanna-Rainforest,"De Wit, 1956"
Bauhinia weberbaueri Harms,19,15,1,3,0,1,0,0.79,0.05,0.16,0.00,0.00,0.05,Grass - Rainforest,,
Bauhinia X blakeana Dunn,10,1,4,3,0,2,2,0.10,0.30,0.30,0.20,0.00,0.20,Rainforest - Grass - Succulent,,Flora do Brasil 2020; https://www.nparks.gov.sg/florafaunaweb/flora/2/7/2748
Bauhinia xerophyta Du Puy & R.Rabev.,22,22,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,Succulent,Succulent,"POWO; http://legacy.tropicos.org/Name/50216962?projectid=17; specimen http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20004561-1. Not in Du Puy 1997? Leguminosae of Madagascar; Babineau & Bruneau, 2017"
Brenierea insignis Humbert,35,28,0,,1,0,6,0.80,,0.00,0.17,0.03,0.00,Succulent,,"http://legacy.tropicos.org/Name/13049786?projectid=17; Babineau & Bruneau, 2017"
Cercis canadensis L.,1680,175,10,838,0,9,657,0.10,0.01,0.50,0.39,0.00,0.01,Grass - Rainforest,,
Cercis canadensis subsp. canadensis,324,0,0,209,0,0,115,0.00,0.00,0.65,0.35,0.00,0.00,Grass,,
Cercis canadensis subsp. mexicana (Rose) A.E.Murray,34,31,0,0,0,0,3,0.91,0.03,0.00,0.09,0.00,0.00,Succulent,,
Cercis canadensis subsp. texensis (S.Watson) A.E.Murray,81,24,0,48,0,0,9,0.30,0.00,0.59,0.11,0.00,0.00,Grass - Rainforest,,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:920638-1; https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=h550
Cercis chinensis Bunge,113,0,1,86,0,1,26,0.00,0.00,0.76,0.23,0.00,0.01,Grass,,"Hui-Lin Li,1944; http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012037; http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:485670-1"
Cercis chingii Chun,8,0,0,6,0,0,2,0.00,0.00,0.75,0.25,0.00,0.00,Grass,,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012040
Cercis chuniana F.P.Metcalf,18,0,0,18,0,0,0,0.00,0.00,1.00,0.00,0.00,0.00,Grass,,"Hui-Lin Li,1944; http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012041"
Cercis glabra Pamp.,26,0,0,24,0,0,2,0.00,0.00,0.92,0.08,0.00,0.00,Grass,,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012042
Cercis griffithii Boiss.,17,0,0,5,0,0,12,0.00,0.00,0.29,0.71,0.00,0.00,Grass,,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:485678-1
Cercis occidentalis Torr. ex A.Gray,563,169,0,113,0,0,281,0.30,0.00,0.20,0.50,0.00,0.00,Grass - Rainforest,,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:52663-2; https://www.biodiversitylibrary.org/page/32406679#page/185/mode/1up
Cercis orbiculata Greene,102,80,0,21,0,0,1,0.78,0.00,0.21,0.01,0.00,0.00,Grass - Rainforest,,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:52666-2
Cercis racemosa Oliv.,9,0,0,7,0,0,2,0.00,0.00,0.78,0.22,0.00,0.00,Grass,Temperate,"Hui-Lin Li,1944; http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012043"
Cercis siliquastrum L.,166,0,0,14,0,0,152,0.00,0.00,0.08,0.92,0.00,0.00,Grass,,"Schrire et al, 2005"
Cercis siliquastrum subsp. siliquastrum,15,0,0,0,0,0,15,0.00,0.00,0.00,1.00,0.00,0.00,Other,,"Schrire et al, 2005"
Cheniella clemensiorum (Merr.) R.Clark & Mackinder,5,0,5,0,0,1,0,0.00,1.00,0.00,0.00,0.00,0.20,Rainforest,Rainforest,"Gagnepain et al, 1907; Clark et al, 2017"
Cheniella corymbosa (Roxb. ex DC.) R.Clark & Mackinder,19,2,9,7,0,7,1,0.11,0.50,0.37,0.05,0.00,0.37,Rainforest - Grass - Succulent,Rainforest,"Clark et al, 2017; http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200011925;"
Cheniella damiaoshanensis (T.C.Chen) R.Clark & Mackinder,1,0,0,1,0,0,0,0.00,0.00,1.00,0.00,0.00,0.00,Grass,,"Clark et al, 2017"
Cheniella didyma (H.Y.Chen) R.Clark & Mackinder,4,0,3,1,0,3,0,0.00,0.50,0.25,0.00,0.00,0.75,Rainforest - Grass,Rainforest,"Clark et al, 2017"
Cheniella glauca (Benth.) R.Clark & Mackinder,108,0,26,65,0,15,17,0.00,0.19,0.60,0.16,0.00,0.14,Rainforest - Grass,,"Clark et al, 2017; De Wit, 1956"
Cheniella lakhonensis (Gagnep.) R.Clark & Mackinder,8,0,5,3,0,4,0,0.00,0.50,0.38,0.00,0.00,0.50,Rainforest - Grass,,"Clark et al, 2017; http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77165912-1"
Cheniella ovatifolia (T.C.Chen) R.Clark & Mackinder,1,0,1,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.00,Rainforest,,"Clark et al, 2017"
Cheniella tenuiflora (Watt ex C.B.Clarke) R.Clark & Mackinder,120,1,29,82,0,24,8,0.01,0.17,0.68,0.07,0.00,0.20,Rainforest - Grass,Savanna-Rainforest,"Clark et al, 2017"
Cheniella touranensis (Gagnep.) R.Clark & Mackinder,22,0,16,6,0,12,0,0.00,0.68,0.27,0.00,0.00,0.55,Rainforest - Grass,,"Clark et al, 2017"
Gigasiphon dolichocalyx (Merr.) de Wit,1,0,0,0,0,0,1,0.00,0.00,0.00,1.00,0.00,0.00,Other,Savanna,"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:496526-1; Flora Malesiana p.448; De Wit, 1956"
Gigasiphon humblotianum (Baill.) Drake,12,3,5,0,0,5,4,0.25,0.25,0.00,0.33,0.00,0.42,Rainforest - Succulent,,"Babineau & Bruneau, 2017; http://legacy.tropicos.org/Name/13051003?projectid=17"
Gigasiphon macrosiphon (Harms) Brenan,19,14,0,0,0,0,5,0.74,0.05,0.00,0.26,0.00,0.00,Succulent,Rainforest,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:496529-1; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=70187
Gigasiphon schlechteri (Harms) de Wit,8,0,8,0,0,8,0,0.00,1.00,0.00,0.00,0.00,1.00,Rainforest,,"Flora Malesiana p.448; De Wit, 1956"
Griffonia physocarpa Baill.,92,0,91,0,0,29,1,0.00,0.99,0.00,0.01,0.00,0.32,Rainforest,Rainforest,Flora de Guinea Ecuatorial
Griffonia simplicifolia (Vahl ex DC.) Baill.,76,0,56,7,0,14,13,0.00,0.86,0.09,0.17,0.00,0.18,Rainforest,,
Griffonia speciosa (Welw. ex Benth.) Taub.,12,0,6,5,0,5,1,0.00,0.50,0.42,0.08,0.00,0.42,Rainforest - Grass,Rainforest,"Aleman et al, 2021; http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:497083-1; https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Foxalis.br.fgov.be%2Fimages%2FBR0%2F000%2F017%2F353%2F953%2FBR0000017353953.jpg; https://www.gbif.org/occurrence/2516116208"
Griffonia tessmannii (De Wild.) Compère,11,0,11,0,0,3,0,0.00,1.00,0.00,0.00,0.00,0.27,Rainforest,Rainforest,Flora de Guinea Ecuatorial
Lysiphyllum binatum (Blanco) de Wit,98,0,32,56,0,17,10,0.00,0.28,0.57,0.10,0.00,0.17,Rainforest - Grass,,"https://profiles.ala.org.au/opus/foa/profile/Bauhinia%20binata; De Wit, 1956"
Lysiphyllum carronii (F.Muell.) Pedley,141,0,0,134,0,0,7,0.00,0.00,0.95,0.05,0.00,0.00,Grass,,https://profiles.ala.org.au/opus/foa/profile/Bauhinia%20carronii
Lysiphyllum cunninghamii (Benth.) de Wit,447,0,0,445,0,0,2,0.00,0.00,1.00,0.00,0.00,0.00,Grass,,
Lysiphyllum dewitii (K.Larsen & S.S.Larsen) Bandyop. & Ghoshal,1,0,1,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,Flora Malesiana p.503
Lysiphyllum diphyllum (Banks) de Wit,4,0,2,0,0,0,2,0.00,0.50,0.00,0.50,0.00,0.00,Rainforest,Savanna,Flora Malesiana p.502
Lysiphyllum gilvum (F.M.Bailey) Pedley,190,0,1,78,0,1,111,0.00,0.01,0.41,0.58,0.00,0.01,Grass,,https://profiles.ala.org.au/opus/foa/profile/Bauhinia%20gilva
Lysiphyllum hookeri (F.Muell.) Pedley,217,0,14,199,0,12,4,0.00,0.04,0.92,0.02,0.00,0.06,Grass,,https://profiles.ala.org.au/opus/foa/profile/Bauhinia%20hookeri
Lysiphyllum strychnifolium (Craib) A.Schmitz,3,0,1,2,0,0,0,0.00,0.33,0.67,0.00,0.00,0.00,Rainforest - Grass,,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505340-1
Lysiphyllum winitii (Craib) de Wit,6,0,3,2,0,3,1,0.00,0.50,0.33,0.17,0.00,0.50,Rainforest - Grass,Savanna,"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:505341-1; De Wit, 1956"
Phanera aherniana (G.Perkins) de Wit,1,0,0,0,0,0,1,0.00,0.00,0.00,1.00,0.00,0.00,Other,Savanna,"De Wit, 1956; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1972825%2Fformat%2Flarge; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1972875%2Fformat%2Flarge"
"Phanera andersonii (K.Larsen & S.S.Larsen) Bandyop., Ghoshal & M.K.Pathak",2,0,2,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.3982861%2Fformat%2Flarge; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1972807%2Fformat%2Flarge
Phanera argentea de Wit,17,0,17,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,
Phanera audax de Wit,3,0,3,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,"De Wit, 1956"
Phanera aurea (H.L√©v.) Mackinder & R.Clark,18,0,8,10,0,8,0,0.00,0.33,0.56,0.00,0.00,0.44,Rainforest - Grass,,
"Phanera aureifolia (K.Larsen & S.S.Larsen) Bandyop., Ghoshal & M.K.Pathak",2,0,2,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77124798-1
Phanera bassacensis (Pierre ex Gagnep.) de Wit,29,0,24,5,0,7,0,0.00,0.76,0.17,0.00,0.00,0.24,Rainforest - Grass,,
Phanera bidentata (Jack) Benth.,18,0,17,0,0,2,1,0.00,1.00,0.00,0.06,0.00,0.11,Rainforest,Rainforest,"De Wit, 1956"
Phanera bidentata var. cornifolia (Baker) de Wit,39,6,25,2,0,22,6,0.15,0.74,0.05,0.15,0.00,0.56,Rainforest - Succulent,Rainforest,https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1972716%2Fformat%2Flarge; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1972715%2Fformat%2Flarge; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1972719%2Fformat%2Flarge
Phanera bracteata Benth.,40,0,23,13,0,2,4,0.00,0.51,0.33,0.10,0.00,0.05,Rainforest - Grass,,
Phanera brevipedicellata (Jarvie) Mackinder & R.Clark,1,0,1,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fdata.huh.harvard.edu%2Fa1ff40bc-28c4-42f5-b25f-9831bc63e95a%2Fimage
"Phanera burbidgei (Stapf) Bandyop., Ghoshal & M.K.Pathak",5,0,5,0,0,1,0,0.00,1.00,0.00,0.00,0.00,0.20,Rainforest,,"De Wit, 1956"
"Phanera campanulata (S.S.Larsen) Bandyop., Ghoshal & M.K.Pathak",3,0,3,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fwww.kew.org%2Fherbcatimg%2F355496.jpg
Phanera cardinalis (Pierre ex Gagnep.) Sinou & Bruneau,3,0,3,0,0,1,0,0.00,0.75,0.00,0.00,0.00,0.33,Rainforest,Rainforest,Flore générale de l'Indo-Chine p.173
Phanera chalcophylla (H.Y.Chen) Mackinder & R.Clark,2,0,1,0,0,1,1,0.00,0.50,0.00,0.50,0.00,0.50,Rainforest,,
Phanera championii Benth.,198,0,42,130,0,34,26,0.00,0.19,0.66,0.13,0.00,0.17,Rainforest - Grass,,
Phanera coccinea Lour.,9,0,9,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,Flore de l'Indo-Chine p. 165
Phanera comosa (Craib) Bandyop. & Ghoshal,7,0,1,6,0,1,0,0.00,0.00,0.86,0.00,0.00,0.14,Rainforest - Grass,,
Phanera concreta (Craib) Sinou & Bruneau,5,0,5,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,
Phanera crudiantha de Wit,3,0,3,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,"De Wit, 1956"
Phanera curtisii (Prain) Bandyop. & Ghoshal,16,0,12,4,0,1,0,0.00,0.75,0.25,0.00,0.00,0.06,Rainforest - Grass,,
