,,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Number_Of_Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,Proportion_Of_Total _Occurrences_In,,,
Phanera delavayi (Franch.) Sinou & Bruneau,19,0,6,13,0,6,0,0.00,0.00,0.68,0.00,0.00,0.32,Rainforest - Grass,,
Phanera elmeri (Merr.) de Wit,3,0,3,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,"De Wit, 1956"
Phanera erythropoda (Hayata) Mackinder & R.Clark,6,0,6,0,0,6,0,0.00,0.83,0.00,0.00,0.00,1.00,Rainforest,,https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fn2t.net%2Fark%3A%2F65665%2Fm3ef89954d-1b4c-4e62-ad8e-bf208f67a44b; https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fsweetgum.nybg.org%2Fimages3%2F2545%2F169%2F03196463.jpg
Phanera esquirolii (Gagnep.) Sinou & Bruneau,2,0,0,2,0,0,0,0.00,0.00,1.00,0.00,0.00,0.00,Grass,,
Phanera excelsa Miq.,69,0,68,0,0,0,1,0.00,0.96,0.00,0.01,0.00,0.00,Rainforest,Rainforest,"De Wit, 1956; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1975309%2Fformat%2Flarge"
"Phanera excurrens (Stapf) Bandyop., Ghoshal & M.K.Pathak",2,0,2,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,
"Phanera fabrilis (de Wit) Bandyop., Ghoshal & M.K.Pathak",2,0,2,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,
Phanera ferruginea (Roxb.) Benth.,10,0,10,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,Flore de l'Indo-Chine p. 127
Phanera finlaysoniana Benth.,74,0,73,1,0,2,0,0.00,0.93,0.01,0.00,0.00,0.03,Rainforest,Rainforest,"De Wit, 1956"
Phanera flava (de Wit) Bandyop. & Ghoshal,1,0,0,0,0,0,1,0.00,1.00,0.00,1.00,0.00,0.00,Other,,"De Wit, 1956; https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77150156-1"
Phanera foraminifera (Gagnep.) de Wit,14,0,14,0,0,0,0,0.00,0.86,0.00,0.00,0.00,0.00,Rainforest,,
Phanera fulva (Korth.) Benth.,8,0,8,0,0,1,0,0.00,0.88,0.00,0.00,0.00,0.13,Rainforest,Rainforest,"De Wit, 1956"
Phanera glabrifolia Benth.,19,0,19,0,0,2,0,0.00,1.00,0.00,0.00,0.00,0.11,Rainforest,,"De Wit, 1956"
Phanera glabristipes de Wit,1,0,1,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,"De Wit, 1956"
Phanera gracillima de Wit,1,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,Rainforest,,"De Wit, 1956"
Phanera harmsiana (Hosseus) Bandyop. & Ghoshal,14,0,5,9,0,1,0,0.00,0.36,0.64,0.00,0.00,0.07,Rainforest - Grass,,https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.3885980%2Fformat%2Flarge; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.3888598%2Fformat%2Flarge
Phanera integrifolia (Roxb.) Benth.,60,0,53,0,0,5,7,0.00,0.88,0.00,0.12,0.00,0.08,Rainforest,Rainforest,
Phanera involucellata (Kurz) de Wit,9,0,7,2,0,1,0,0.00,0.78,0.22,0.00,0.00,0.11,Rainforest - Grass,Rainforest,https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fmediaphoto.mnhn.fr%2Fmedia%2F1441332504414wmP6seHWDxsTEIIA;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:513540-1
Phanera japonica (Maxim.) H.Ohashi,26,0,4,0,0,4,22,0.00,0.15,0.00,0.85,0.00,0.15,Rainforest,,https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fn2t.net%2Fark%3A%2F65665%2Fm365e479c2-bcfd-4c1a-8338-756cae681947; https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fn2t.net%2Fark%3A%2F65665%2Fm31d5ea8cc-9c31-4a4a-9038-1688875274ba; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.3897148%2Fformat%2Flarge
Phanera khasiana (Baker) Thoth.,14,0,11,3,0,8,0,0.00,0.79,0.21,0.00,0.00,0.57,Rainforest - Grass,,https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fplant.depo.msu.ru%2Fopen%2Fpublic%2Fitem%2FMW0757378%2Fimg%2F0.jpg%3Foriginal; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1975837%2Fformat%2Flarge
Phanera kockiana (Korth.) Benth.,190,0,188,0,0,16,2,0.00,0.95,0.00,0.01,0.00,0.08,Rainforest,,"De Wit, 1956"
"Phanera kostermansii (K.Larsen & S.S.Larsen) Bandyop., Ghoshal & M.K.Pathak",3,0,3,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,
Phanera lambiana (Baker f.) de Wit,5,0,5,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,
Phanera lingua (DC.) Miq.,45,0,36,5,0,4,4,0.00,0.78,0.11,0.09,0.00,0.09,Rainforest - Grass,Savanna-Rainforest,"De Wit, 1956"
Phanera lorantha (Pierre ex Gagnep.) XXXX,4,0,4,0,0,4,0,0.00,1.00,0.00,0.00,0.00,1.00,Rainforest,,
Phanera macrostachya Benth.,5,0,4,1,0,2,0,0.00,0.80,0.20,0.00,0.00,0.40,Rainforest - Grass,Rainforest,"Gagnepain et al, 1907; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1974956%2Fformat%2Flarge"
Phanera menispermacea (Gagnep.) de Wit,5,0,5,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,"De Wit, 1956"
Phanera merrilliana (G.Perkins) de Wit,9,0,9,0,0,0,0,0.00,0.89,0.00,0.00,0.00,0.00,Rainforest,Rainforest,"https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1962961%2Fformat%2Flarge; De Wit, 1956"
Phanera nervosa Wall. ex Benth.,9,0,4,3,0,2,2,0.00,0.44,0.33,0.22,0.00,0.22,Rainforest - Grass,,https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.3895748%2Fformat%2Flarge; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1962899%2Fformat%2Flarge
Phanera ornata (Kurz) Thoth.,49,0,35,13,0,20,1,0.00,0.69,0.27,0.02,0.00,0.41,Rainforest - Grass,Savanna-Rainforest,Flore de l'Indo-Chine p.169 & p.171
Phanera pauciflora (Merr.) de Wit,1,0,1,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,"De Wit, 1956"
Phanera paucinervata (T.C.Chen) X.Y.Zhu,2,0,2,0,0,2,0,0.00,1.00,0.00,0.00,0.00,1.00,Rainforest,,
Phanera penicilliloba (Pierre ex Gagnep.) Sinou & Bruneau,9,0,3,6,0,3,0,0.00,0.44,0.67,0.00,0.00,0.33,Rainforest - Grass,Rainforest,https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.2058773%2Fformat%2Flarge; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.2058772%2Fformat%2Flarge
Phanera pottingeri (Prain) Thoth.,1,0,1,0,0,1,0,0.00,1.00,0.00,0.00,0.00,1.00,Rainforest,,
Phanera pulla (Craib) Sinou & Bruneau,18,0,13,4,0,1,1,0.00,0.78,0.22,0.06,0.00,0.06,Rainforest - Grass,,
Phanera pyrrhoclada (Drake) de Wit,6,0,4,2,0,3,0,0.00,0.50,0.33,0.00,0.00,0.50,Rainforest - Grass,Savanna,https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fn2t.net%2Fark%3A%2F65665%2Fm3f5604a98-fa2d-4782-96cd-3ba164e9fa81; https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fn2t.net%2Fark%3A%2F65665%2Fm3de8faf5f-edc3-473a-964d-9f8bd24b4f4d
Phanera pyrrhoneura (Korth.) Benth.,3,0,3,0,0,1,0,0.00,1.00,0.00,0.00,0.00,0.33,Rainforest,Rainforest,"De Wit, 1956"
Phanera retusa Benth.,2,0,0,2,0,0,0,0.00,0.00,1.00,0.00,0.00,0.00,Grass,,
Phanera ridleyi (Prain) A.Schmitz,1,0,1,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,"De Wit, 1956"
Phanera saigonensis (Pierre ex Gagnep.) Mackinder & R.Clark,4,0,3,1,0,1,0,0.00,0.75,0.25,0.00,0.00,0.25,Rainforest - Grass,Rainforest,https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.3897170%2Fformat%2Flarge;
Phanera scandens (L.) Lour. ex Raf.,27,0,14,9,0,5,4,0.00,0.52,0.33,0.15,0.00,0.19,Rainforest - Grass,,"De Wit, 1956; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.3894790%2Fformat%2Flarge; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.3885034%2Fformat%2Flarge"
Phanera semibifida (Roxb.) Benth.,153,0,153,0,0,26,0,0.00,0.95,0.00,0.00,0.00,0.17,Rainforest,Rainforest,"De Wit, 1956"
Phanera similis (Craib) de Wit,1,0,1,0,0,1,0,0.00,1.00,0.00,0.00,0.00,1.00,Rainforest,,https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1974163%2Fformat%2Flarge
Phanera sirindhorniae (K.Larsen & S.S.Larsen) Mackinder & R.Clark,2,0,1,1,0,1,0,0.00,0.50,0.50,0.00,0.00,0.50,Rainforest - Grass,,https://www.nparks.gov.sg/florafaunaweb/flora/6/4/6495
"Phanera steenisii (K.Larsen & S.S.Larsen) Bandyop., Ghoshal & M.K.Pathak",4,0,4,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,
Phanera stipularis (Korth.) Benth.,24,0,24,0,0,13,0,0.00,1.00,0.00,0.00,0.00,0.54,Rainforest,,
Phanera strychnoidea (Prain) Bandyop. & Ghoshal,2,0,2,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,"De Wit, 1956"
Phanera sylvani de Wit,6,0,6,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,"De Wit, 1956"
Phanera tubicalyx (Craib) Bandyop. & Ghoshal,1,0,1,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,"De Wit, 1956"
Phanera vahlii (Wight & Arn.) Benth.,2,0,0,1,0,0,1,0.00,0.00,0.50,0.50,0.00,0.00,Grass,Rainforest,Flora do Brasil 2020; https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fn2t.net%2Fark%3A%2F65665%2Fm3657e6cc7-6095-4a7f-95d7-ea1cc66168d7
Phanera williamsii (F.Muell.) de Wit,7,0,7,0,0,7,0,0.00,0.86,0.00,0.00,0.00,1.00,Rainforest,Rainforest,"De Wit, 1956"
Phanera wrayi (Prain) de Wit,53,0,51,0,0,2,2,0.00,0.96,0.00,0.04,0.00,0.04,Rainforest,,"De Wit, 1956"
Phanera yunnanensis (Franch.) Wunderlin,32,0,6,20,0,5,6,0.00,0.09,0.63,0.19,0.00,0.16,Rainforest - Grass,Savanna,https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fmedialib.naturalis.nl%2Ffile%2Fid%2FL.1974857%2Fformat%2Flarge
Piliostigma malabaricum (Roxb.) Benth.,169,0,33,126,0,27,10,0.00,0.17,0.75,0.06,0.00,0.16,Rainforest - Grass,,Flora Malesiana p.457
Piliostigma reticulatum (DC.) Hochst.,45,5,0,38,0,0,2,0.11,0.00,0.84,0.04,0.00,0.00,Grass - Rainforest,Savanna,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=62748; http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:514345-1; Flora de Guinea Ecuatorial
Piliostigma thonningii (Schumach.) Milne-Redh.,152,31,5,112,0,5,4,0.20,0.03,0.74,0.03,0.00,0.03,Grass - Rainforest,Savanna,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:514346-1 (Flora of West Tropical Africa); Flora de Guinea Ecuatorial; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=62747
Schnella accrescens (Killip & J.F.Macbr.) Trethowan & R.Clark,2,0,2,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,https://plantidtools.fieldmuseum.org/en/rrc/catalogue/273892
Schnella alata (Ducke) Wunderlin,20,1,19,0,0,4,0,0.05,0.95,0.00,0.00,0.00,0.20,Rainforest,Rainforest,Flora do Brasil 2020
Schnella altiscandens (Ducke) Wunderlin,24,0,24,0,0,2,0,0.00,1.00,0.00,0.00,0.00,0.08,Rainforest,Rainforest,Flora do Brasil 2020
Schnella anamesa (J.F.Macbr.) Wunderlin,13,1,0,12,0,0,0,0.08,0.00,0.92,0.00,0.00,0.00,Grass,,Flora do Brasil 2020
Schnella angulosa (Vogel) Wunderlin,72,12,24,6,12,16,18,0.17,0.63,0.08,0.25,0.17,0.22,Rainforest - Succulent,Rainforest,Flora do Brasil 2020
Schnella bahiachalensis N.Zamora,19,0,19,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77129505-1; Zamora, 2013 https://1library.co/document/y60ln0oy-nueva-especie-schnella-leguminosae-caesalpinioideae-cercideae-para-costa.html"
Schnella carvalhoi (Vaz) Wunderlin,8,0,5,0,0,2,3,0.00,0.63,0.00,0.38,0.00,0.25,Rainforest,Rainforest,Flora do Brasil 2020
Schnella confertiflora (Benth.) Wunderlin,6,0,6,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,Flora do Brasil 2020
Schnella coronata (Benth.) Pittier,81,3,58,19,0,11,1,0.04,0.68,0.23,0.01,0.00,0.14,Rainforest - Grass,Savanna-Rainforest,"Flora do Brasil 2020; Vaz, 2010"
Schnella cupreonitens (Ducke) Wunderlin,44,0,42,1,1,15,0,0.00,0.98,0.02,0.00,0.02,0.34,Rainforest,Rainforest,Flora do Brasil 2020
Schnella erythrantha (Ducke) Wunderlin,10,0,10,0,0,1,0,0.00,1.00,0.00,0.00,0.00,0.10,Rainforest,Rainforest,Flora do Brasil 2020
Schnella excisa Griseb.,2,0,2,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,,
Schnella flexuosa (Moric.) Walp.,68,62,2,2,2,2,0,0.91,0.06,0.03,0.00,0.03,0.03,Succulent,Rainforest-Succulent,"Flora do Brasil 2020; Lewis, 1987; Quieroz, 2009"
Schnella glabra (Jacq.) Dugand,842,143,368,180,10,99,141,0.17,0.44,0.21,0.17,0.01,0.12,Rainforest - Grass - Succulent,Savanna-Rainforest,"Flora do Brasil 2020; Castellanos & Lewis, 2012"
Schnella grazielae (Vaz) Wunderlin,11,0,1,0,6,0,4,0.00,1.00,0.00,0.36,0.55,0.00,Overlap,Rainforest,Flora do Brasil 2020
Schnella guentheri (Harms) Trethowan & R.Clark,1,0,1,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fn2t.net%2Fark%3A%2F65665%2Fm35e7381bd-3068-4b9a-9ab6-1c34f2a21089
Schnella guianensis (Aubl.) Wunderlin,795,22,645,64,4,169,60,0.03,0.81,0.08,0.08,0.01,0.21,Rainforest,Rainforest,"Castellanos & Lewis, 2012"
Schnella herrerae Britton & Rose,416,27,214,8,109,81,58,0.06,0.82,0.02,0.14,0.26,0.19,Rainforest,Rainforest,http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Bauhinia%20herrerae/
Schnella hirsutissima (Wunderlin) Trethowan & R.Clark,4,0,4,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,https://www.gbif.org/occurrence/1703340268
Schnella hymenaeifolia (Triana ex Hemsl.) Britton & Rose,25,3,7,0,0,0,15,0.12,0.48,0.00,0.60,0.00,0.00,Rainforest - Succulent,Rainforest,"http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Schnella%20hymenaeifolia/; Castellanos & Lewis, 2012; https://www.gbif.org/occurrence/1657211076; https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fn2t.net%2Fark%3A%2F65665%2Fm3ae16cc19-d7c2-409a-8119-a7eb2b65c399"
Schnella klugii (Standl.) Wunderlin,5,0,4,0,1,0,0,0.00,1.00,0.00,0.00,0.20,0.00,Rainforest,Rainforest,"Vaz, 2010"
Schnella kunthiana (Vogel) Wunderlin,60,0,57,2,0,19,1,0.00,0.90,0.03,0.02,0.00,0.32,Rainforest,Rainforest,"Vaz, 2010"
Schnella lilacina (Wunderlin & Eilers) Wunderlin,1,0,0,0,1,0,0,0.00,1.00,0.00,0.00,1.00,0.00,Overlap,Rainforest,"Flora do Brasil 2020; Lewis, 1987"
Schnella longiseta (Fr√≥es) Wunderlin,2,0,2,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,"Vaz, 2010"
Schnella macrostachya Raddi,57,9,15,6,4,2,23,0.16,0.61,0.11,0.40,0.07,0.04,Rainforest - Grass - Succulent,Rainforest,"Vaz, 2010"
Schnella maximiliani (Benth.) Wunderlin,34,5,10,0,18,5,1,0.15,0.85,0.00,0.03,0.53,0.15,Rainforest - Succulent,Rainforest-Succulent,"Flora do Brasil 2020; Vaz, 2010; Lewis, 1987"
Schnella microstachya Raddi,375,62,117,91,8,35,97,0.17,0.38,0.24,0.26,0.02,0.09,Rainforest - Grass - Succulent,Rainforest-Succulent,"Flora do Brasil 2020; Lewis, 1987; Quieroz, 2009"
Schnella obovata (S.F.Blake) Britton & Rose,1,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fquod.lib.umich.edu%2Fcgi%2Fi%2Fimage%2Fapi%2Fimage%2Fherb00ic%3A1107152%3AMICH-V-1107152%2Ffull%2Fres%3A0%2F0%2Fnative.jpg; https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Fwww.nhm.ac.uk%2Fservices%2Fmedia-store%2Fasset%2F2158addb64361c5e7671873b70a7a043b0624536%2Fcontents%2Fpreview
Schnella outimouta (Aubl.) Wunderlin,490,35,300,103,15,101,37,0.07,0.67,0.21,0.08,0.03,0.21,Rainforest - Grass,Rainforest,"Lewis, 1987; Quieroz, 2009"
Schnella platycalyx (Benth.) Wunderlin,33,1,27,3,0,9,2,0.03,0.79,0.09,0.06,0.00,0.27,Rainforest,Rainforest,"Vaz, 2010"
Schnella poiteauana (Vogel) Wunderlin,6,0,6,0,0,4,0,0.00,1.00,0.00,0.00,0.00,0.67,Rainforest,Rainforest,"Vaz, 2010"
Schnella porphyrotricha (Harms) Wunderlin,12,0,8,2,0,0,2,0.00,0.58,0.17,0.17,0.00,0.00,Rainforest - Grass,Rainforest,"Vaz, 2010"
Schnella pterocalyx (Ducke) Wunderlin,21,0,20,0,0,2,1,0.00,0.95,0.00,0.05,0.00,0.10,Rainforest,Rainforest,"Vaz, 2010"
Schnella reflexa (Schery) Wunderlin,41,0,32,0,0,0,9,0.00,0.83,0.00,0.22,0.00,0.00,Rainforest,,
Schnella riedeliana (Bong.) Wunderlin,27,11,0,16,0,0,0,0.41,0.00,0.59,0.00,0.00,0.00,Grass - Rainforest,Savanna,"Vaz, 2010"
Schnella rutilans (Spruce ex Benth.) Pittier,103,2,96,2,0,27,3,0.02,0.90,0.02,0.03,0.00,0.26,Rainforest,Rainforest,"Vaz, 2010"
Schnella scala-simiae (Sandwith) Trethowan & R.Clark,9,0,9,0,0,6,0,0.00,1.00,0.00,0.00,0.00,0.67,Rainforest,Rainforest,https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fn2t.net%2Fark%3A%2F65665%2Fm31c38f4bb-5b2a-471b-9860-5e74313ed730
Schnella siqueirae (Ducke) Wunderlin,40,0,36,0,4,14,0,0.00,1.00,0.00,0.00,0.10,0.35,Rainforest,Rainforest,"Vaz, 2010"
Schnella smilacina (Schott) G.Don,48,4,21,1,15,11,7,0.08,0.85,0.02,0.15,0.31,0.23,Rainforest,Rainforest,"Vaz, 2010; Flora do Brasil 2020"
Schnella splendens (Kunth) Benth.,172,2,163,3,0,74,4,0.01,0.94,0.02,0.02,0.00,0.43,Rainforest,Rainforest,"Vaz, 2010"
Schnella sprucei (Benth.) Wunderlin,7,0,7,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,"Vaz, 2010"
Schnella stenoloba Britton & Killip,4,1,1,0,0,0,2,0.25,0.75,0.00,0.50,0.00,0.00,Rainforest - Succulent,,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:518027-1;
Schnella surinamensis (Amshoff) Wunderlin,26,0,26,0,0,4,0,0.00,1.00,0.00,0.00,0.00,0.15,Rainforest,Rainforest,"Vaz, 2010"
Schnella trichosepala (L.P.Queiroz) Wunderlin,81,71,2,2,2,1,4,0.88,0.09,0.02,0.05,0.02,0.01,Succulent,Savanna-Succulent,"Flora do Brasil 2020; Lewis, 1987; Quieroz, 2009"
Schnella uleana (Harms) Wunderlin,15,0,15,0,0,0,0,0.00,1.00,0.00,0.00,0.00,0.00,Rainforest,Rainforest,"Vaz, 2010"
Schnella umbriana Britton & Killip,4,0,3,1,0,0,0,0.00,0.75,0.25,0.00,0.00,0.00,Rainforest - Grass,Rainforest,"http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/Schnella%20umbriana/; Castellanos & Lewis, 2012; see Trethowan 2015?"
Schnella vestita Benth.,2,0,0,0,0,0,2,0.00,0.00,0.00,1.00,0.00,0.00,Other,Rainforest,http://catalogoplantasdecolombia.unal.edu.co/en/resultados/especie/schnella%20vestita/; https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fsweetgum.nybg.org%2Fimages3%2F3649%2F619%2F04217828.jpg
Schnella vulpina (Rusby) Trethowan & R.Clark,2,0,0,0,0,0,2,0.00,0.00,0.00,1.00,0.00,0.00,Other,Rainforest,https://api.gbif.org/v1/image/unsafe/http%3A%2F%2Fsweetgum.nybg.org%2Fimages3%2F2545%2F148%2F03196441.jpg
Tournaya gossweileri (Baker f.) A.Schmitz,25,0,24,1,0,0,0,0.00,0.96,0.00,0.04,0.00,0.00,Rainforest,Rainforest,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:521411-1
Tylosema angolense P.Silveira & S.Castro,3,0,0,3,0,0,0,0.00,0.00,1.00,0.00,0.00,0.00,Grass,,http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77063994-1
Tylosema esculentum (Burch.) A.Schreib.,73,14,0,59,0,0,0,0.19,0.00,0.81,0.00,0.00,0.00,Grass - Rainforest,Savanna,https://plants.jstor.org/search?qtype=all&query=Bauhinia+bainesii; http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=69316
Tylosema fassoglense (Kotschy ex Schweinf.) Torre & Hillc.,99,49,0,43,0,0,7,0.49,0.00,0.43,0.07,0.00,0.00,Grass - Rainforest,Savanna-Succulent,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=69317; http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:524264-1
Tylosema humifusum (Pic.Serm. & Roti Mich.) Brenan,6,5,0,1,0,0,0,0.83,0.00,0.17,0.00,0.00,0.00,Grass - Rainforest,Succulent,http://www.ville-ge.ch/musinfo/bd/cjb/africa/details.php?langue=an&id=69319